Feature ID	Taxon	Consensus
02741588b52ee30e6bb77f8b7cd73305	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured;s__uncultured_bacterium	1.0
027709ff451ef08e5ecc5f162deb6e2f	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Gracilibacteria;f__Gracilibacteria;g__Gracilibacteria	1.0
027cd5238188b1c29e7be097f64b945a	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__uncultured_bacterium	0.7
0281c8f0b3a999abe78076e5a86f4363	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Kerstersia;s__uncultured_Bordetella	1.0
0285a967172cdee767989d01c3994275	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	1.0
0289dace314331e569577548f4d01ba5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	1.0
028d84b03e1ca26e45cf6fcba0fe98a3	Unassigned	1.0
0295cef8880ed6ee9675404fc5ec7819	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium_maltaromaticum	0.556
0296a8354910816a4c4deb929e4889d8	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Anaerococcus;s__uncultured_bacterium	1.0
02a7feae3894011d4895e774bbc76157	Unassigned	1.0
02ac0fca4fd17055f27bbc7bb9357ec8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella_morhuae	0.667
02af83daa0ede16b7a75c44c06a1f8bd	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__uncultured_bacterium	1.0
02b34057d6634bcaa7a98554c6de34c1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	1.0
02b54a16db9e65736741045e3c332dcd	Unassigned	1.0
